Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2018-12,Green,"22,083","341,294","3,777","3,468","2,720",24.3,5.6,22.9,5.4,15.7,59%,-
2018-12,Yellow,"263,609","3,852,809","23,042","11,938","10,803",28.1,11.5,21.7,7.7,14.7,68%,-
2018-11,FHV - Black Car,"17,791",-,"7,362","7,340","3,891",15.9,3.6,15.9,3.6,30,-,"17,734"
2018-11,FHV - High Volume,"691,379",-,"85,496","83,271","56,908",20.5,6.3,20.3,6.2,20,-,"160,672"
2018-11,FHV - Livery,"47,205",-,"9,584","9,195","6,464",21.1,5.4,20.7,5.2,18,-,36
2018-11,FHV - Lux Limo,"3,622",-,"2,960","2,832","1,364",14.5,2.5,14.2,2.4,71,-,-
2018-11,Green,"21,858","344,302","3,767","3,490","2,742",23.6,5.5,22.3,5.4,16.4,61%,-
2018-11,Yellow,"271,501","4,035,397","23,459","11,948","11,040",27.7,11.8,21.4,7.8,15.2,70%,-
2018-10,FHV - Black Car,"18,364",-,"7,582","7,476","3,933",16.3,3.6,16.3,3.6,34,-,158
2018-10,FHV - High Volume,"680,433",-,"84,660","82,247","56,538",21.3,6.3,21,6.2,21,-,"176,348"
2018-10,FHV - Livery,"44,990",-,"9,558","9,182","6,382",21.5,5.3,21.2,5.2,19,-,34
2018-10,FHV - Lux Limo,"3,467",-,"2,835","2,696","1,384",15.9,2.5,15.6,2.4,71,-,-
2018-10,Green,"22,889","360,292","3,827","3,523","2,796",24.6,5.7,23.2,5.6,16.3,60%,-
2018-10,Yellow,"284,121","4,267,309","23,600","12,009","11,151",28.8,12,22.2,7.9,15.2,71%,-
2018-09,FHV - Black Car,"15,159",-,"6,183","6,140","3,232",15.8,3.7,15.7,3.7,32,-,291
2018-09,FHV - High Volume,"658,952",-,"82,782","80,536","53,842",20.1,6.4,19.8,6.3,20,-,"148,283"
2018-09,FHV - Livery,"42,058",-,"8,697","8,414","5,823",20.8,5.3,20.4,5.2,18,-,35
2018-09,FHV - Lux Limo,"2,556",-,"2,425","2,271","1,062",14,2.4,13.6,2.3,69,-,-
2018-09,Green,"22,193","345,939","3,806","3,503","2,721",23.3,5.6,21.9,5.5,15.8,58%,-
2018-09,Yellow,"267,983","3,995,849","23,055","12,007","10,741",26.8,11.7,20.6,7.9,15,70%,-
2018-08,FHV - Black Car,"14,455",-,"6,634","6,609","3,448",16.2,3.4,16.2,3.4,32,-,16
2018-08,FHV - High Volume,"642,341",-,"80,363","78,545","51,804",20.4,6.4,20.3,6.3,20,-,"168,299"
2018-08,FHV - Livery,"46,411",-,"9,603","9,321","6,418",21.3,5.3,21,5.2,18,-,15
2018-08,FHV - Lux Limo,"2,211",-,"2,516","2,395","1,027",13.3,2.1,13,2.1,68,-,-
2018-08,Green,"21,468","326,276","3,788","3,507","2,646",23.4,5.6,22.1,5.5,15,60%,-
2018-08,Yellow,"253,182","3,742,832","22,319","11,961","10,655",27.6,11.3,21.4,7.8,14.1,70%,-
